roll_name,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8
RE+3/9,-3107.225337,310.0220513,9696.100899,-3075.019567,264.0274003,9696.100907,-1686.838866,142.5773258,9696.100955,-1620.952178,188.711637,9696.100949,-1498.725907,644.8662929,9696.100876,-1532.718296,717.7631222,9696.100863,-2795.643085,1306.674623,9696.100741,-2846.531426,1282.944972,9696.100744
RE+3/10,-3026.255964,-771.7164932,9664.101099,-2980.261342,-803.922305,9664.101105,-1634.259809,-443.2622817,9664.101074,-1588.125439,-377.3756355,9664.101064,-1629.284394,93.07337552,9664.100986,-1686.158975,149.9479062,9664.100976,-3074.339676,271.3979807,9664.100928,-3114.043056,231.6945653,9664.100934
RE+3/11,-2580.295768,-1760.14253,9696.101242,-2526.059925,-1774.675006,9696.101246,-1384.58521,-975.4058066,9696.101141,-1363.767643,-897.7137275,9696.101129,-1563.347447,-469.7134551,9696.101056,-1636.244307,-435.7211308,9696.101049,-2982.24584,-796.3811542,9696.101079,-3005.975445,-847.2695164,9696.101087
RE+3/12,-1822.9415,-2536.756222,9664.101402,-1767.006078,-2531.862532,9664.101403,-967.7368778,-1390.387818,9664.101237,-974.7470196,-1310.261117,9664.101224,-1308.675404,-976.3327325,9664.101164,-1388.802104,-969.3225906,9664.101162,-2530.276819,-1768.59179,9664.101267,-2535.17051,-1824.527212,9664.101275
RE+3/13,-845.9681574,-3007.276805,9696.101469,-795.0797952,-2983.5472,9696.101466,-434.4197712,-1637.545668,9696.101262,-468.4120954,-1564.648808,9696.10125,-896.4123677,-1365.069003,9696.101211,-974.1044468,-1385.88657,9696.101212,-1773.373647,-2527.361285,9696.101377,-1758.841171,-2581.597128,9696.101386
RE+3/14,233.3965274,-3115.37947,9664.101525,273.0999429,-3075.67609,9664.10152,151.649869,-1687.49539,9664.101301,94.77533833,-1630.620808,9664.101291,-375.6736727,-1589.461853,9664.101277,-441.5603188,-1635.596223,9664.101283,-802.2203428,-2981.597755,9664.101488,-770.0145311,-3027.592378,9664.101495
RE+3/15,1284.246331,-2847.832788,9696.101474,1307.975982,-2796.944447,9696.101466,719.0644818,-1534.019658,9696.101261,646.1676526,-1500.027268,9696.101255,190.0129966,-1622.25354,9696.101268,143.8786853,-1688.140227,9696.101277,265.3287593,-3076.320928,9696.101495,311.3234102,-3108.526699,9696.101501
RE+3/16,2180.574701,-2236.841989,9664.10141,2185.468441,-2180.906572,9664.101402,1200.126932,-1195.565063,9664.101236,1120.000238,-1188.554849,9664.101234,733.1589204,-1459.424056,9664.101272,712.3414228,-1537.116153,9664.101284,1301.252923,-2800.040943,9664.101488,1355.48878,-2814.57337,9664.101491
RE+3/17,2813.596664,-1356.416104,9696.101253,2799.064236,-1302.180248,9696.101245,1536.139447,-713.268747,9696.10114,1458.44735,-734.0862446,9696.101142,1187.578143,-1120.927562,9696.101201,1194.588357,-1201.054256,9696.101213,2179.929866,-2186.395765,9696.101378,2235.865283,-2181.502025,9696.101378
RE+3/18,3107.486713,-312.2212301,9664.101111,3075.280942,-266.2265791,9664.101104,1687.100241,-144.7765045,9664.101072,1621.213554,-190.9108158,9664.101079,1498.987282,-647.0654717,9664.101151,1532.979671,-719.962301,9664.101163,2795.90446,-1308.873802,9664.101268,2846.792801,-1285.144151,9664.101264
RE+4/1,3036.427226,770.1948,10574.09998,2990.432604,802.4006118,10574.09999,1887.167392,506.7815896,10574.10052,1840.976006,440.8135162,10574.10056,1889.728229,-116.4269422,10574.10065,1946.673099,-173.3717618,10574.10063,3084.510938,-272.9196739,10574.10016,3124.214318,-233.2162585,10574.10014
RE+4/2,2589.483189,1762.157695,10604.09981,2535.247346,1776.690172,10604.09982,1599.624828,1121.560232,10604.10037,1578.781533,1043.772136,10604.1004,1815.181099,536.8116313,10604.10048,1888.168049,502.7772972,10604.10047,2991.433261,798.3963196,10604.09998,3015.162866,849.2846818,10604.09996
RE+4/3,1830.221886,2541.434034,10574.09967,1774.286464,2536.540344,10574.09969,1119.156524,1600.917827,10574.10033,1126.17533,1520.6921,10574.10037,1521.708961,1125.158468,10574.10044,1601.934687,1118.139663,10574.10042,2537.557206,1773.269603,10574.09983,2542.450896,1829.205024,10574.0998
RE+4/4,850.2214345,3014.03161,10604.09958,799.3330723,2990.302005,10604.0996,503.7140495,1887.036793,10604.10023,537.7483838,1814.049843,10604.10026,1044.708888,1577.650277,10604.1003,1122.496984,1598.493572,10604.10028,1777.626924,2534.11609,10604.09968,1763.094448,2588.351933,10604.09966
RE+4/5,-232.3156463,3122.94816,10574.09955,-272.0190618,3083.24478,10574.09957,-172.4711503,1945.406941,10574.10026,-115.5263301,1888.46207,10574.10029,441.7141282,1839.709847,10574.10031,507.6822011,1885.901233,10574.10028,803.3012239,2989.166445,10574.0996,771.0954122,3035.161067,10574.09958
RE+4/6,-1286.819409,2855.046761,10604.09957,-1310.54906,2804.15842,10604.0996,-827.8411616,1768.98799,10604.10023,-754.8542414,1734.95359,10604.10025,-214.5452524,1879.728948,10604.10024,-168.3539255,1945.697062,10604.10021,-267.9018371,3083.534901,10604.09957,-313.896488,3115.740671,10604.09954
RE+4/7,-2186.101136,2242.640254,10574.09966,-2190.994876,2186.704837,10574.09969,-1383.348687,1379.058648,10574.10033,-1303.122967,1372.03977,10574.10036,-844.9146852,1692.880663,10574.10031,-824.0714601,1770.668777,10574.10028,-1306.779359,2805.839207,10574.0996,-1361.015215,2820.371635,10574.09958
RE+4/8,-2821.694181,1359.593924,10604.09979,-2807.161753,1305.358068,10604.09982,-1771.991324,822.6501687,10604.10037,-1694.203209,843.493394,10604.10038,-1373.362316,1301.701675,10604.10031,-1380.381193,1381.927395,10604.10028,-2188.027382,2189.573585,10604.09968,-2243.962799,2184.679845,10604.09967
RE+4/9,-3116.936639,312.4161699,10574.09996,-3084.730868,266.4215189,10574.09999,-1946.89303,166.8736069,10574.10052,-1880.924915,213.0649341,10574.10054,-1736.149558,753.373923,10574.10045,-1770.183957,826.3608427,10574.10042,-2805.354387,1309.068742,10574.09982,-2856.242728,1285.339091,10574.09981
RE+4/10,-3036.217916,-772.5878968,10604.10014,-2990.223294,-804.7937086,10604.10016,-1886.958083,-509.1746864,10604.10058,-1840.766696,-443.206613,10604.10059,-1889.518919,114.0338454,10604.1005,-1946.46379,170.978665,10604.10047,-3084.301629,270.5265771,10604.09998,-3124.005009,230.8231617,10604.09997
RE+4/11,-2589.273878,-1764.550792,10574.10031,-2535.038035,-1779.083268,10574.10033,-1599.415517,-1123.953329,10574.10074,-1578.572222,-1046.165232,10574.10075,-1814.971788,-539.2047278,10574.10066,-1887.958738,-505.1703938,10574.10063,-2991.22395,-800.7894162,10574.10016,-3014.953555,-851.6777784,10574.10015
RE+4/12,-1830.012576,-2543.827132,10604.10044,-1774.077154,-2538.933442,10604.10046,-1118.947214,-1603.310924,10604.10077,-1125.96602,-1523.085197,10604.10078,-1521.499651,-1127.551565,10604.10071,-1601.725378,-1120.53276,10604.10068,-2537.347896,-1775.6627,10604.10032,-2542.241586,-1831.598121,10604.10031
RE+4/13,-850.0121239,-3016.424707,10574.10054,-799.1237617,-2992.695101,10574.10055,-503.5047389,-1889.42989,10574.10088,-537.5390732,-1816.442939,10574.10089,-1044.499578,-1580.043373,10574.10084,-1122.287673,-1600.886668,10574.10082,-1777.417614,-2536.509186,10574.10046,-1762.885137,-2590.745029,10574.10045
RE+4/14,232.5249566,-3125.341257,10604.10056,272.228372,-3085.637877,10604.10058,172.6804605,-1947.800039,10604.10084,115.7356404,-1890.855168,10604.10085,-441.5048179,-1842.102945,10604.10084,-507.4728908,-1888.29433,10604.10082,-803.0919137,-2991.559542,10604.10054,-770.8861019,-3037.554164,10604.10053
RE+4/15,1287.02872,-2857.439857,10574.10054,1310.75837,-2806.551516,10574.10055,828.0504718,-1771.381086,10574.10088,755.0635516,-1737.346687,10574.10089,214.7545626,-1882.122044,10574.10091,168.5632357,-1948.090158,10574.1009,268.1111473,-3085.927997,10574.10058,314.1057982,-3118.133768,10574.10057
RE+4/16,2186.310447,-2245.033351,10604.10045,2191.204187,-2189.097934,10604.10046,1383.557998,-1381.451745,10604.10077,1303.332277,-1374.432868,10604.10079,845.1239958,-1695.27376,10604.10083,824.2807707,-1773.061875,10604.10082,1306.988669,-2808.232305,-2808.232305,1361.224526,-2822.764733,10604.10053
RE+4/17,2821.903491,-1361.987021,10574.10032,2807.371063,-1307.751164,10574.10033,1772.200634,-825.0432652,10574.10074,1694.412518,-845.8864904,10574.10076,1373.571626,-1304.094772,10574.10083,1380.590503,-1384.320492,10574.10082,2188.236692,-2191.966681,10574.10046,2244.172109,-2187.072941,10574.10044
RE+4/18,3117.14595,-314.8092668,10604.10015,3084.940179,-268.8146159,10604.10016,1947.102341,-169.2667038,10604.10058,1881.134226,-215.4580311,10604.10061,1736.358869,-755.76702,10604.10069,1770.393268,-828.7539396,10604.10068,2805.563698,-1311.461839,10604.10032,2856.452039,-1287.732188,10604.1003
